Date suspended,Suspension length,Name,Position,Team at the time of suspension,Reason
2015-09-08,4 games,Brandon Spikes,LB,Free agent,Undisclosed
2015-09-08,6 games,Mike Williams,WR,Free agent,Undisclosed
2015-09-08,3 games,Jonathan Dwyer,RB,Free agent,"Violation of the league's personal conduct policy, stemming from a domestic violence arrest"
2015-09-08,6 games,Jermaine Cunningham,OLB,Free agent,Violation of the league's personal conduct policy
2015-09-08,6 games,Rodney Austin,OG,Free agent,"Violation of the league's personal conduct policy, stemming from a guilty domestic violence charge"
2015-09-05,2 games,Zeke Motta,S,Free agent,Undisclosed
2015-09-03,1 game,T. J. Ward,SS,Denver Broncos,Violation of the league's personal conduct policy
2015-08-28,4 games,R. J. Dill,OL,Dallas Cowboys,Violating the substance policies
2015-08-27,4 games,Martavis Bryant,WR,Pittsburgh Steelers,Violating the substance policies
2015-08-24,3 games,Jeremiah Ratliff,DT,Chicago Bears,Violating the substance policies
2015-08-21,10 games,Jarrett Bush,CB,Free agent,Violating the substance policies
2015-08-20,1 game,Oday Aboushi,OG,New York Jets,Violating the substance policies
2015-08-18,6 games,Jerome Simpson,WR,San Francisco 49ers,Violating the substance policies
2015-08-17,4 games,Ryan Seymour,OG,Cleveland Browns,Violating the substance policies
2015-08-17,1 game,Akeem Spence,DT,Tampa Bay Buccaneers,Violating the substance policies
2015-08-13,2 games,Da'Rick Rogers,WR,Free agent,Violating the substance policies
2015-08-11,3 games (later reduced to 2 games),Bobby Massie,OT,Arizona Cardinals,Violating the substance policies
2015-08-03,10 games,Ace Sanders,WR,Free agent,Violating the substance policies
2015-07-31,1 game,Orson Charles,TE,New Orleans Saints,Violation of the league's personal conduct policy
2015-07-31,1 game,Bashaud Breeland,CB,Washington Redskins,Violating the substance policies
2015-07-24,3 games,Sean Smith,CB,Kansas City Chiefs,Violating the substance policies
2015-07-24,4 games,Derek Wolfe,DE,Denver Broncos,Violating the substance policies
2015-07-24,2 games,Jabari Price,CB,Minnesota Vikings,Violating the substance policies
2015-07-23,3 games,Letroy Guion,DT,Green Bay Packers,Violating the substance policies
2015-07-13,4 games,Jarrett Bush,CB,Free agent,Violating the substance policies
2015-07-13,10 games,Jakar Hamilton,FS,Free agent,Violating the substance policies
2015-07-13,10 games,Loucheiz Purifoy,CB,Free agent,Violating the substance policies
2015-07-13,1 game,Quentin Hines,RB,Free agent,Violating the substance policies
2015-07-02,4 games,Sheldon Richardson,DE,New York Jets,Violating the substance policies
2015-07-02,4 games,Rolando McClain,LB,Dallas Cowboys,Violating the substance policies
2015-07-02,1 game,Datone Jones,DE,Green Bay Packers,Violating the substance policies
2015-07-02,4 games,Antonio Gates,TE,San Diego Chargers,Violating the substance policies
2015-06-29,4 games,Kyle Knox,LB,Free agent,Violating the substance policies
2015-06-22,1 game,Ahmad Bradshaw,RB,Free agent,Violating the substance policies
2015-05-29,4 games,Trey Watts,RB,St. Louis Rams,Violating the substance policies
2015-05-21,1 game,Marcell Dareus,DT,Buffalo Bills,Violating the substance policies
2015-05-11,4 games,Tom Brady,QB,New England Patriots,Alleged involvement in the Deflategate scandal
2015-04-28,Entire 2015 season,Dion Jordan,DE,Miami Dolphins,Violating the substance policies
2015-04-22,10 games (later reduced to 4 games),Greg Hardy,DE,Dallas Cowboys,"Violation of the league's personal conduct policy, stemming from a domestic abuse charge"
2015-04-13,4 games,Victor Butler,LB,New York Giants,Violating the substance policies
2015-04-13,4 games,Eben Britton,OL,Free agent,Violating the substance policies
2015-04-09,3 games (later reduced to 2 games),Le'Veon Bell,RB,Pittsburgh Steelers,Violating the substance policies
2015-04-07,1 game,LeGarrette Blount,RB,New England Patriots,Violating the substance policies
2015-03-07,10 games,LaRon Landry,FS,Free agent,Violating the substance policies
2015-02-03,Entire 2015 season,Josh Gordon,WR,Cleveland Browns,Violating the substance policies
2015-01-23,2 games,Trent Richardson,RB,Indianapolis Colts,Undisclosed
2014-12-29,"1 game (later appealed and reduced to a $70,000 fine)",Ndamukong Suh,DT,Detroit Lions,Stepping on the leg of Green Bay Packers quarterback Aaron Rodgers
2014-12-27,1 game,Josh Gordon,WR,Cleveland Browns,Violation of team rules
2014-12-22,1 game,Dominic Raiola,C,Detroit Lions,Stomping on the leg of Chicago Bears defensive tackle Ego Ferguson
2014-12-17,4 games,Craig Watts,OG,San Diego Chargers,Violating the substance policies
2014-12-04,4 games,Haloti Ngata,DT,Baltimore Ravens,Violating the substance policies
2014-11-23,1 game,David Amerson,CB,Washington Redskins,Violation of team rules
2014-11-18,Indefinite (reinstated in Feb. 2015),Adrian Peterson,RB,Minnesota Vikings,Violation of the league's personal conduct policy
